"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Bicep Curl (Dumbbell)";"2";"7.5";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Bicep Curl (Dumbbell)";"3";"7.5";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Triceps Pushdown (Cable - Straight Bar)";"1";"16.25";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Triceps Pushdown (Cable - Straight Bar)";"2";"18.75";"12";"";"";"";"";""
"2";"2024-09-22 21:00:57";"Oren's #1 - Full Body";"3044";"Triceps Pushdown (Cable - Straight Bar)";"3";"18.75";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bench Press (Dumbbell)";"1";"20.0";"10";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bench Press (Dumbbell)";"2";"20.0";"10";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bench Press (Dumbbell)";"3";"22.0";"10";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bent Over One Arm Row (Dumbbell)";"1";"20.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bent Over One Arm Row (Dumbbell)";"2";"20.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bent Over One Arm Row (Dumbbell)";"3";"22.0";"10";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Cable Crossover";"1";"13.75";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Cable Crossover";"2";"13.75";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Cable Crossover";"3";"13.75";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Goblet Squat (Kettlebell)";"1";"14.0";"10";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Goblet Squat (Kettlebell)";"2";"16.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Goblet Squat (Kettlebell)";"3";"16.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Romanian Deadlift (Barbell)";"1";"30.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Romanian Deadlift (Barbell)";"2";"30.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Romanian Deadlift (Barbell)";"3";"30.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Sit Up";"1";"12.0";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Sit Up";"2";"12.0";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Sit Up";"3";"12.0";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Russian Twist";"1";"";"16";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Russian Twist";"2";"";"16";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Russian Twist";"3";"";"16";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Lateral Raise (Dumbbell)";"1";"4.0";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Lateral Raise (Dumbbell)";"2";"4.0";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Lateral Raise (Dumbbell)";"3";"5.0";"15";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bicep Curl (Dumbbell)";"1";"7.5";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bicep Curl (Dumbbell)";"2";"8.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Bicep Curl (Dumbbell)";"3";"8.0";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Triceps Pushdown (Cable - Straight Bar)";"1";"18.75";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Triceps Pushdown (Cable - Straight Bar)";"2";"21.25";"12";"";"";"";"";""
"3";"2024-09-24 20:53:52";"Oren's #1 - Full Body SS";"3293";"Triceps Pushdown (Cable - Straight Bar)";"3";"21.25";"12";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Pull Up";"1";"0.0";"5";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Pull Up";"2";"0.0";"5";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Pull Up";"3";"0.0";"5";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bench Press (Dumbbell)";"1";"22.0";"10";"";"";"";"";""
"4";"2024-09-26 20:54:15";"Oren's #1 - Full Body SS";"3761";"Bench Press (Dumbbell)";"2";"22.0";"10";"";"";"";"";""
